🕘️更新时间,#genre#
2026-04-08 03:10:16,https://iptv.catvod.com/live.php?id=CCTV1&line=16

📺央视频道,#genre#
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=3
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=4
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=8
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=5
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=3
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=6
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=5
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=4
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=7
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=6
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=3
CCTV-4,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV4&line=1
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=1
CCTV-5,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV5&line=1
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=6
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=10
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=8
CCTV-5+,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV5%2B&line=4
CCTV-5+,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV5%2B&line=3
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=5
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=11
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=13
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=7
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=9
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=3
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=9
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=7
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=2
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=15
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=14
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=11
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=10
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=4
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=5
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=3
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=4
CCTV-9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=3
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=8
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=2
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=10
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=6
CCTV-11,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV11&line=6
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=5
CCTV-11,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV11&line=7
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=7
CCTV-11,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV11&line=5
CCTV-12,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV12&line=1
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=6
CCTV-12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV-12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-12,http://23.237.228.134/live3/CCTV12.m3u8
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=2
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=13
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=4
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=12
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=7
CCTV-14,https://iptv.catvod.com/live.php?id=CCTV14&line=2
CCTV-14,https://iptv.catvod.com/live.php?id=CCTV14&line=3
CCTV-14,https://iptv.catvod.com/live.php?id=CCTV14&line=4
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-15,https://iptv.catvod.com/live.php?id=CCTV15&line=4
CCTV-15,https://iptv.catvod.com/live.php?token=5e0f38855a0d473a3c9fe57e580bc1cc3771b33719d1d3c700d12450daf164f0&id=CCTV15&line=6
CCTV-15,https://iptv.catvod.com/live.php?id=CCTV15
CCTV-15,https://iptv.catvod.com/live.php?id=CCTV15&line=3
CCTV-15,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV-16,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV16&line=1
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV16&line=2
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV16&line=1
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV16
CCTV-16,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CCTV16&line=3
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV17&line=1
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV17&line=6
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV17&line=3
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV17&line=5
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV17&line=2
CETV-1,https://iptv.catvod.com/live.php?id=CETV1&line=1
CETV-1,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CETV1&line=1
CETV-1,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CETV1&line=2
CETV-1,https://iptv.catvod.com/live.php?token=0c45a9f49931c77e708c8a150768162cdeaa49822b3cdcca092b14c4e0ee31d1&id=CETV1&line=3
CETV-1,https://iptv.catvod.com/live.php?id=CETV1
CETV-2,https://iptv.catvod.com/live.php?id=CETV2
CETV-2,https://iptv.catvod.com/live.php?id=CETV2&line=1
CETV-2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
